GRID_ID,topic,x_label,y_label,x_val,y_val,bivar_class,color
P-11,Free Time,Activity (per capita),NDVI,28.86,0.53,2-2,#a5b4c2
AJ-13,Free Time,Activity (per capita),NDVI,22.1,0.592,2-2,#a5b4c2
K-15,Free Time,Activity (per capita),NDVI,49.14,0.481,2-1,#dfb0d6
AH-11,Free Time,Activity (per capita),NDVI,139.96,0.68,3-3,#3b4994
AC-16,Free Time,Activity (per capita),NDVI,7.43,0.496,1-1,#e8e8e8
AJ-11,Free Time,Activity (per capita),NDVI,3292.7,0.867,3-3,#3b4994
AC-7,Free Time,Activity (per capita),NDVI,0.0,0.511,1-2,#ace4e4
R-10,Free Time,Activity (per capita),NDVI,31.48,0.556,2-2,#a5b4c2
AH-17,Free Time,Activity (per capita),NDVI,614.65,0.637,3-3,#3b4994
AD-7,Free Time,Activity (per capita),NDVI,0.0,0.619,1-3,#5ac8c8
N-22,Free Time,Activity (per capita),NDVI,30.92,0.45,2-1,#dfb0d6
Q-9,Free Time,Activity (per capita),NDVI,35.97,0.425,2-1,#dfb0d6
V-6,Free Time,Activity (per capita),NDVI,264.59,0.589,3-2,#8c62aa
P-16,Free Time,Activity (per capita),NDVI,1070.9,0.705,3-3,#3b4994
AG-19,Free Time,Activity (per capita),NDVI,0.0,0.6,1-2,#ace4e4
O-18,Free Time,Activity (per capita),NDVI,48.8,0.701,2-3,#5698b9
G-14,Free Time,Activity (per capita),NDVI,186.47,0.56,3-2,#8c62aa
Y-6,Free Time,Activity (per capita),NDVI,41.16,0.408,2-1,#dfb0d6
G-11,Free Time,Activity (per capita),NDVI,0.0,0.494,1-1,#e8e8e8
P-10,Free Time,Activity (per capita),NDVI,38.66,0.516,2-2,#a5b4c2
X-4,Free Time,Activity (per capita),NDVI,220.29,0.641,3-3,#3b4994
O-5,Free Time,Activity (per capita),NDVI,72.25,0.728,3-3,#3b4994
AB-5,Free Time,Activity (per capita),NDVI,20.43,0.523,2-2,#a5b4c2
R-11,Free Time,Activity (per capita),NDVI,256.61,0.448,3-1,#be64ac
Q-21,Free Time,Activity (per capita),NDVI,171.41,0.543,3-2,#8c62aa
U-9,Free Time,Activity (per capita),NDVI,26.06,0.241,2-1,#dfb0d6
AA-6,Free Time,Activity (per capita),NDVI,1594.2,0.642,3-3,#3b4994
AF-13,Free Time,Activity (per capita),NDVI,77.08,0.498,3-1,#be64ac
L-9,Free Time,Activity (per capita),NDVI,17.55,0.662,2-3,#5698b9
AM-13,Free Time,Activity (per capita),NDVI,39.12,0.642,2-3,#5698b9
O-8,Free Time,Activity (per capita),NDVI,224.62,0.733,3-3,#3b4994
K-14,Free Time,Activity (per capita),NDVI,28.61,0.449,2-1,#dfb0d6
P-9,Free Time,Activity (per capita),NDVI,27.37,0.516,2-2,#a5b4c2
P-12,Free Time,Activity (per capita),NDVI,37.72,0.484,2-1,#dfb0d6
AF-5,Free Time,Activity (per capita),NDVI,3.86,0.514,1-2,#ace4e4
O-13,Free Time,Activity (per capita),NDVI,23.37,0.532,2-2,#a5b4c2
AI-17,Free Time,Activity (per capita),NDVI,87.97,0.609,3-3,#3b4994
H-16,Free Time,Activity (per capita),NDVI,18.36,0.565,2-2,#a5b4c2
AK-9,Free Time,Activity (per capita),NDVI,0.0,0.519,1-2,#ace4e4
W-22,Free Time,Activity (per capita),NDVI,438.17,0.611,3-3,#3b4994
AE-8,Free Time,Activity (per capita),NDVI,229.78,0.64,3-3,#3b4994
X-6,Free Time,Activity (per capita),NDVI,0.0,0.513,1-2,#ace4e4
H-11,Free Time,Activity (per capita),NDVI,0.0,0.446,1-1,#e8e8e8
V-12,Free Time,Activity (per capita),NDVI,151.74,0.506,3-2,#8c62aa
T-20,Free Time,Activity (per capita),NDVI,421.92,0.739,3-3,#3b4994
K-10,Free Time,Activity (per capita),NDVI,5115.97,0.766,3-3,#3b4994
AB-19,Free Time,Activity (per capita),NDVI,33.07,0.546,2-2,#a5b4c2
AE-11,Free Time,Activity (per capita),NDVI,500.82,0.503,3-1,#be64ac
Q-16,Free Time,Activity (per capita),NDVI,11.24,0.562,1-2,#ace4e4
Z-18,Free Time,Activity (per capita),NDVI,36.18,0.432,2-1,#dfb0d6
AC-13,Free Time,Activity (per capita),NDVI,54.57,0.457,2-1,#dfb0d6
AE-10,Free Time,Activity (per capita),NDVI,3323.04,0.584,3-2,#8c62aa
T-5,Free Time,Activity (per capita),NDVI,227.42,0.614,3-3,#3b4994
P-20,Free Time,Activity (per capita),NDVI,2.77,0.576,1-2,#ace4e4
AG-17,Free Time,Activity (per capita),NDVI,25.46,0.559,2-2,#a5b4c2
T-19,Free Time,Activity (per capita),NDVI,46.47,0.522,2-2,#a5b4c2
I-10,Free Time,Activity (per capita),NDVI,33.16,0.57,2-2,#a5b4c2
AL-13,Free Time,Activity (per capita),NDVI,8.33,0.598,1-2,#ace4e4
T-18,Free Time,Activity (per capita),NDVI,73.71,0.619,3-3,#3b4994
Q-24,Free Time,Activity (per capita),NDVI,11.03,0.495,1-1,#e8e8e8
AJ-17,Free Time,Activity (per capita),NDVI,0.0,0.658,1-3,#5ac8c8
V-11,Free Time,Activity (per capita),NDVI,85.0,0.455,3-1,#be64ac
M-23,Free Time,Activity (per capita),NDVI,81.42,0.597,3-2,#8c62aa
H-12,Free Time,Activity (per capita),NDVI,0.0,0.535,1-2,#ace4e4
R-16,Free Time,Activity (per capita),NDVI,104.08,0.448,3-1,#be64ac
K-9,Free Time,Activity (per capita),NDVI,18.43,0.669,2-3,#5698b9
AC-5,Free Time,Activity (per capita),NDVI,168.66,0.542,3-2,#8c62aa
T-23,Free Time,Activity (per capita),NDVI,71.79,0.514,3-2,#8c62aa
J-9,Free Time,Activity (per capita),NDVI,0.0,0.549,1-2,#ace4e4
T-13,Free Time,Activity (per capita),NDVI,25.72,0.273,2-1,#dfb0d6
AI-19,Free Time,Activity (per capita),NDVI,8.5,0.606,1-3,#5ac8c8
P-24,Free Time,Activity (per capita),NDVI,9.12,0.467,1-1,#e8e8e8
Z-9,Free Time,Activity (per capita),NDVI,73.41,0.439,3-1,#be64ac
AM-10,Free Time,Activity (per capita),NDVI,4.24,0.713,1-3,#5ac8c8
P-6,Free Time,Activity (per capita),NDVI,13.34,0.577,1-2,#ace4e4
AF-8,Free Time,Activity (per capita),NDVI,18.66,0.542,2-2,#a5b4c2
AJ-10,Free Time,Activity (per capita),NDVI,170.34,0.549,3-2,#8c62aa
X-18,Free Time,Activity (per capita),NDVI,59.98,0.488,2-1,#dfb0d6
X-5,Free Time,Activity (per capita),NDVI,3.8,0.56,1-2,#ace4e4
W-21,Free Time,Activity (per capita),NDVI,32.38,0.466,2-1,#dfb0d6
AA-13,Free Time,Activity (per capita),NDVI,0.0,0.355,1-1,#e8e8e8
O-19,Free Time,Activity (per capita),NDVI,10.54,0.716,1-3,#5ac8c8
AC-18,Free Time,Activity (per capita),NDVI,47.06,0.622,2-3,#5698b9
AC-4,Free Time,Activity (per capita),NDVI,214.43,0.644,3-3,#3b4994
AI-18,Free Time,Activity (per capita),NDVI,0.0,0.636,1-3,#5ac8c8
AB-15,Free Time,Activity (per capita),NDVI,12.25,0.332,1-1,#e8e8e8
L-26,Free Time,Activity (per capita),NDVI,9.51,0.577,1-2,#ace4e4
M-14,Free Time,Activity (per capita),NDVI,46.05,0.662,2-3,#5698b9
U-18,Free Time,Activity (per capita),NDVI,14.43,0.525,1-2,#ace4e4
N-9,Free Time,Activity (per capita),NDVI,38.55,0.775,2-3,#5698b9
P-14,Free Time,Activity (per capita),NDVI,16.87,0.594,2-2,#a5b4c2
Y-9,Free Time,Activity (per capita),NDVI,19.24,0.351,2-1,#dfb0d6
N-20,Free Time,Activity (per capita),NDVI,59.98,0.476,2-1,#dfb0d6
J-20,Free Time,Activity (per capita),NDVI,0.0,0.666,1-3,#5ac8c8
N-12,Free Time,Activity (per capita),NDVI,74.11,0.575,3-2,#8c62aa
W-20,Free Time,Activity (per capita),NDVI,6.62,0.515,1-2,#ace4e4
AC-9,Free Time,Activity (per capita),NDVI,35.91,0.449,2-1,#dfb0d6
F-9,Free Time,Activity (per capita),NDVI,0.0,0.328,1-1,#e8e8e8
L-19,Free Time,Activity (per capita),NDVI,63.59,0.508,2-2,#a5b4c2
AA-14,Free Time,Activity (per capita),NDVI,17.24,0.492,2-1,#dfb0d6
Y-21,Free Time,Activity (per capita),NDVI,0.0,0.479,1-1,#e8e8e8
AE-19,Free Time,Activity (per capita),NDVI,7.24,0.567,1-2,#ace4e4
AI-10,Free Time,Activity (per capita),NDVI,112.7,0.72,3-3,#3b4994
O-21,Free Time,Activity (per capita),NDVI,1.96,0.405,1-1,#e8e8e8
Q-5,Free Time,Activity (per capita),NDVI,2684.61,0.677,3-3,#3b4994
AD-8,Free Time,Activity (per capita),NDVI,9.13,0.464,1-1,#e8e8e8
O-14,Free Time,Activity (per capita),NDVI,35.05,0.523,2-2,#a5b4c2
AI-9,Free Time,Activity (per capita),NDVI,109.34,0.541,3-2,#8c62aa
Q-19,Free Time,Activity (per capita),NDVI,65.47,0.397,2-1,#dfb0d6
Y-17,Free Time,Activity (per capita),NDVI,16.08,0.451,2-1,#dfb0d6
V-14,Free Time,Activity (per capita),NDVI,19.19,0.395,2-1,#dfb0d6
R-12,Free Time,Activity (per capita),NDVI,128.93,0.174,3-1,#be64ac
AC-19,Free Time,Activity (per capita),NDVI,49.47,0.641,2-3,#5698b9
V-15,Free Time,Activity (per capita),NDVI,18.29,0.45,2-1,#dfb0d6
AD-13,Free Time,Activity (per capita),NDVI,63.08,0.61,2-3,#5698b9
AH-20,Free Time,Activity (per capita),NDVI,29.71,0.618,2-3,#5698b9
AE-9,Free Time,Activity (per capita),NDVI,73.68,0.299,3-1,#be64ac
P-13,Free Time,Activity (per capita),NDVI,7.24,0.505,1-1,#e8e8e8
V-9,Free Time,Activity (per capita),NDVI,122.54,0.474,3-1,#be64ac
X-7,Free Time,Activity (per capita),NDVI,20.0,0.485,2-1,#dfb0d6
W-4,Free Time,Activity (per capita),NDVI,250.72,0.583,3-2,#8c62aa
AJ-9,Free Time,Activity (per capita),NDVI,284.43,0.585,3-2,#8c62aa
V-5,Free Time,Activity (per capita),NDVI,1354.76,0.57,3-2,#8c62aa
